Age,Likely Ethnicity,Precinct,Borrud - SD24: Responses,Total People
25 to 34,White,Rochester W1 P11,Lean Aleta,1
25 to 34,White,Rochester W1 P9,Strong Aleta,1
25 to 34,White,Rochester W2 P1,Undecided,1
25 to 34,White,Rochester W2 P4,Strong Aleta,1
25 to 34,White,Rochester W2 P4,Lean Aleta,1
25 to 34,White,Rochester W2 P4,Undecided,1
24 to 34,White,Rochester W2 P8,Undecided,1
25 to 34,White,Rochester W2 P9,Undecided,1
25 to 34,White,Stewartville,Strong Aleta,1
35 to 49,Asian,Byron,Strong Aleta,1
31 to 49,Asian,Rochester W1 P3,Strong Aleta,1
32 to 49,Asian,Rochester W1 P2,Strong Aleta,1
33 to 49,Asian,Rochester W1 P1,Strong Aleta,1
34 to 49,Asian,Rochester W1 P0,Strong Aleta,1
35 to 49,Asian,Rochester W1 P1,Strong Aleta,1
35 to 49,Asian,Rochester W1 P1,Lean Aleta,1
35 to 49,Asian,Rochester W1 P8,Lean Nelson,1
35 to 49,Asian,Rochester W2 P3,Strong Aleta,1
35 to 49,Asian,Rochester W2 P6,Lean Aleta,1
35 to 49,Asian,Rochester W4 P11,Strong Aleta,1
35 to 49,Asian,Rochester W1 P8,Lean Aleta,1
34 to 49,Black,Rochester W1 P10,Undecided,1
35 to 49,Black,Rochester W1 P11,Undecided,1
35 to 49,Black,Rochester W1 P8,Lean Aleta,1
35 to 49,Black,Rochester W4 P11,Strong Aleta,1
35 to 49,Black,Rochester W4 P11,Lean Aleta,1
35 to 49,Black,Rochester W1 P4,Undecided,1
35 to 49,Black,Rochester W2 P1,Lean Aleta,1
35 to 49,Black,Rochester W4 P10,Strong Aleta,1
34 to 49,Black,Rochester W4 P10,Strong Aleta,1
35 to 49,Black,Rochester W4 P11,Strong Aleta,1
35 to 49,Black,Rochester W4 P11,Undecided,1
35 to 49,Black,Rochester W4 P13,Undecided,1
35 to 49,Black,Rochester W4 P11,Strong Aleta,1
35 to 49,Hispanic,Rochester W1 P4,Undecided,1
